"m1897";"f1897";"m1926";"f1926";"m1939";"f1939";"m1959";"f1959";"m1970";"f1970";"m1979";"f1979";"m1989";"f1989";"m2002";"f2002";"m2010";"f2010"
171653;164571;232296;230786;315054;423817;459072;754675;387206;639342;984203;1110360;1038151;1177442;998307;1135505;1093184;1241960
535799;706130;455192;701599;420094;570612;497133;871680;395074;656743;1058424;1245210;1072588;1230324;1035886;1190390;1155128;1319896
129217;125875;174902;173974;288419;322342;436044;734819;465178;774078;962812;1128688;1063113;1211022;951627;1104077;1076307;1263084
215064;209220;269782;289672;332456;401292;448958;768754;325333;537012;852960;1127553;892275;1031999;960428;1115830;1043777;1244051
176319;181582;226715;243416;306155;382239;395891;704376;344731;597229;685445;1050831;789192;914631;963751;1149211;1005283;1213022
142448;156777;185206;211978;290723;392071;389682;717492;422021;739097;599922;1013673;636807;751582;730354;869644;967830;1194179
371186;411448;359762;536021;307614;565274;366362;764147;513647;965254;502258;961216;614992;745988;798841;982399;964217;1217428
185669;174825;250487;299114;266422;445116;323671;703976;483280;865597;409966;815704;733704;918806;604983;752242;919814;1184147
157656;151118;181611;233263;208105;364755;235732;547428;495209;948044;362878;678642;740490;915351;382611;485822;837341;1094468
164499;161717;177167;240339;256284;392059;316876;792099;450722;806530;329584;615930;826647;1052538;298788;386820;841362;1115583
97609;93064;119585;137788;210721;312777;238786;462508;446988;883393;323338;600644;804057;1046586;280702;374191;789019;1058380
442179;621059;393617;626852;268228;492380;266111;609610;418718;797883;402552;765522;836705;1139799;493677;690847;787516;1068764
84768;76870;108929;114104;203713;262680;213869;417987;376412;749408;264866;497196;764668;1051588;625270;881794;775999;1086312
138359;131717;172281;200036;225495;333960;242129;499096;373684;743525;284123;569120;666651;1043429;694930;1000642;585545;822971
122674;118345;152884;180921;209083;322387;230310;472621;343363;701004;338600;687460;523738;965534;741777;1103418;624976;908747
82218;85587;109514;135491;177872;276012;210268;427374;308716;674379;403408;856077;447893;920056;695339;1055368;471186;700348
244384;282860;252562;386528;207019;363070;216659;453194;295366;661500;379439;782772;369296;834673;693911;1062076;295668;452536
94733;82931;128161;143767;175989;287063;184946;386894;263617;618831;377023;836373;291325;694511;559111;874771;222526;349399
100852;94975;134893;167287;142113;258042;162629;353676;236113;606611;347589;735084;259832;581390;467811;743843;205594;337029
76014;78919;94214;125702;146649;225103;166901;363736;180592;476414;326270;779549;229741;526500;358252;590565;336318;593158
43935;46210;55068;68708;101850;169430;116159;259274;198959;620758;282810;646579;217531;505413;364999;629237;431670;777849
244093;370962;194998;365567;129468;285825;179061;466422;168751;437208;265609;666535;255921;619452;427681;755232;471562;873450
33494;32427;41694;46077;71650;114459;116724;237596;148798;396800;241212;596627;163782;399472;405822;732603;485883;939961
56556;53473;68545;82562;90221;150295;125125;290548;143126;382447;220082;573657;170084;448178;435844;818562;446533;887671
43683;41766;55358;64718;76050;131527;110491;262814;132947;358738;190229;536077;197156;531638;385155;762428;438107;876801
31340;30362;37877;44579;61429;106584;99942;233163;126171;333544;170670;494615;224305;642947;379150;795220;337694;699382
107391;116803;95755;152158;74229;154031;99334;255458;114322;306077;149927;468465;200024;560736;317841;706659;273086;582355
31897;27660;36818;45104;50091;90763;80080;193513;102170;263696;126919;429079;192577;588768;258185;657851;198303;443449
27760;23529;27929;34968;42910;80537;61484;155434;88999;240455;93297;328058;161834;477023;193023;581343;190828;450959
29489;28080;32183;43329;45223;78594;67961;167210;75333;194624;101143;415070;146993;498448;154406;514632;210878;515172
13172;12632;13534;18250;26681;49262;43344;98527;65311;188453;72163;228476;118088;388669;112987;414359;195219;491816
88877;126159;68453;128724;37019;98110;51227;165621;53779;181629;67926;258504;101089;363539;89944;341315;200564;525966
8263;7669;8797;11086;15907;29275;31882;67582;60038;182619;52977;180274;86924;316774;73858;265492;162820;459396
12134;11160;13327;16666;17708;34295;31065;79046;44785;139545;49144;179070;72310;279044;63570;232607;151191;454663
8663;7866;9596;11986;14117;27351;25692;68430;36822;119417;42722;153378;57432;242190;54955;209635;120794;375205
7399;6473;7332;9272;11109;22125;20754;55430;31675;103928;34815;121357;46402;203858;47194;191120;93394;326944
23427;25032;23197;36912;14381;37237;20655;62346;27950;94522;29330;106041;37103;172011;30300;127389;66247;268782
5656;4780;7006;8321;8005;17126;15310;42422;21054;71413;23954;88673;28500;145188;28748;130403;48072;216394
4898;4431;5816;7727;5981;14034;10371;32245;18094;61912;17481;62288;18883;97737;29419;138781;32932;160226
3872;3818;4869;6377;6095;13436;11789;34459;12652;42879;15013;63902;17774;104036;26635;130668;23840;114617
2348;2613;2831;3987;3542;8724;5648;16815;11074;39534;9797;43130;10254;49912;20166;98044;18087;83274
15351;23398;14037;27382;5597;18066;7009;28208;8055;31046;11383;56501;8371;46841;16673;84802;13839;62970
1034;1113;1126;1689;1742;4227;2347;7505;4283;17608;9419;33381;5765;31139;10857;56869;10228;48090
1278;1416;1574;2312;1813;4186;2548;8071;4137;14759;5138;24262;4632;25459;8189;46496;7790;39367
1046;1078;1202;1772;1530;3607;2135;7011;2923;11452;3869;18474;3492;19069;4839;27823;4327;22563
882;783;840;1130;1213;2588;1634;5807;2275;9407;2858;13968;2413;13077;3333;20188;3544;19137
3466;4162;3246;5512;1964;5478;1831;6966;1742;7848;2156;11362;1691;9982;2287;14288;3137;17377
1285;1235;1266;1681;1252;2915;1421;5113;1468;6279;1824;9346;1326;8193;1458;9247;2380;13581
1063;881;912;1366;925;2387;1038;3896;1184;5262;1102;5480;885;5080;984;6453;1666;8756
997;1008;1047;1647;1057;2459;1172;4294;868;3831;1218;5862;813;6114;644;4115;1137;5980
482;560;525;897;702;1486;558;1774;946;4105;597;3002;493;3884;488;2961;687;3447
2007;3114;3928;7231;3902;8713;1995;7524;1423;6943;968;5349;1236;8999;967;5685;1379;5887
